msa_name,year,msa_no,normusaspminpop,normusasminorestab,MinorityUsasp,normusaswompop,normusaswomestab,WomanUsasp,normawardestab,normawardpop,AwardAmount,normsampop1000,normsamestab,ann_sam_registrations,normwompop1000,normwomestab,Woman,normminorpop1000,normminorest,Minority,normcdfipop10000,normcdfiestab10000,cumulativecdfi,normmdipop10000,normmdiestab10000,UnemploymentRate,UnemploymentPerCapita,AvgAverageWeeklyWage,EstablishmentCount,AvgPopulation
"Fairbanks, AK MSA",2021,21820,33,1005,49063,8,251,12240,304789,9926,14875270,42,1,63,70,2,105,81,2,122,,,,,,19,0,1107,7029,95909
"Fajardo, PR MSA",2019,21940,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fajardo, PR MSA",2020,21940,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fajardo, PR MSA",2021,21940,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fargo, ND-MN MSA",2019,22020,0,0,0,224,6381,274392,695220,24444,29895644,89,3,109,132,4,162,114,3,139,,,,,,9,0,980,35090,249500
"Fargo, ND-MN MSA",2020,22020,41,1146,50556,1100,30476,1344984,1249270,45079,55133765,113,3,138,153,4,187,118,3,144,,,,,,17,0,1056,36016,249500
"Fargo, ND-MN MSA",2021,22020,0,0,0,397,8014,485520,312147,15461,18909955,65,1,80,81,2,99,64,1,78,,,,,,11,0,1070,27810,249500
"Farmington, NM MSA",2019,22140,842,34813,1512101,386,15979,694073,84628,2047,3675845,29,1,52,116,5,209,100,4,179,,,,,,24,0,887,11816,122127
"Farmington, NM MSA",2020,22140,124,5117,222093,63,2593,112573,28189,681,1223586,31,1,56,90,4,161,86,4,155,,,,,,40,0,911,11807,122127
"Farmington, NM MSA",2021,22140,0,0,0,0,0,0,8019,255,457193,13,0,23,31,1,56,37,1,66,,,,,,34,0,934,8725,122127
"Fayetteville, NC MSA",2019,22180,8534,663648,48593690,3818,296922,21741210,9378621,120595,686721876,52,4,298,191,15,1090,269,21,1534,,,,,,20,0,841,26948,523887
